epoch,loss,mae,mse
0,6077.90478515625,66.57095336914062,6077.90478515625
1,6119.783203125,67.2818374633789,6119.783203125
2,6094.115234375,66.54419708251953,6094.115234375
3,6083.18505859375,66.75675201416016,6083.18505859375
4,6074.6328125,66.75094604492188,6074.6328125
5,6084.04833984375,66.48137664794922,6084.04833984375
6,6073.31787109375,66.71150207519531,6073.31787109375
7,6076.03125,66.8839111328125,6076.03125
8,6077.15869140625,66.46956634521484,6077.15869140625
9,6082.95703125,66.43232727050781,6082.95703125
